timestamp,open,high,low,close,volume
2026-03-11 00:40:00+00:00,1.383,1.383,1.3814,1.3822,674917.1
2026-03-11 00:45:00+00:00,1.3822,1.3863,1.3822,1.3862,229855.3
2026-03-11 00:50:00+00:00,1.3862,1.3916,1.3862,1.389,1228655.6
2026-03-11 00:55:00+00:00,1.389,1.3895,1.3873,1.3876,580238.6
2026-03-11 01:00:00+00:00,1.3876,1.3881,1.3854,1.3865,270592.8
2026-03-11 01:05:00+00:00,1.3865,1.389,1.3865,1.3885,306072.0
2026-03-11 01:10:00+00:00,1.3885,1.3897,1.3877,1.3879,674883.0
2026-03-11 01:15:00+00:00,1.3879,1.3883,1.3843,1.3855,1022127.2
2026-03-11 01:20:00+00:00,1.3855,1.3871,1.3849,1.386,427548.2
2026-03-11 01:25:00+00:00,1.386,1.3878,1.3851,1.3878,120628.1
2026-03-11 01:30:00+00:00,1.3878,1.3882,1.3867,1.3875,197554.1
2026-03-11 01:35:00+00:00,1.3875,1.3875,1.3834,1.3848,546583.8
2026-03-11 01:40:00+00:00,1.3848,1.3855,1.3834,1.3852,259940.1
2026-03-11 01:45:00+00:00,1.3852,1.3869,1.3849,1.3867,178956.7
2026-03-11 01:50:00+00:00,1.3867,1.3889,1.3867,1.3883,301784.6
2026-03-11 01:55:00+00:00,1.3883,1.3894,1.3883,1.3892,281534.7
2026-03-11 02:00:00+00:00,1.3892,1.3896,1.3881,1.3881,237323.8
2026-03-11 02:05:00+00:00,1.3881,1.3886,1.3871,1.3883,172792.4
2026-03-11 02:10:00+00:00,1.3883,1.389,1.3864,1.3866,202937.7
2026-03-11 02:15:00+00:00,1.3866,1.3876,1.3849,1.3854,311919.1
2026-03-11 02:20:00+00:00,1.3854,1.3855,1.3836,1.3842,719323.6
2026-03-11 02:25:00+00:00,1.3842,1.3846,1.3832,1.3844,400637.2
2026-03-11 02:30:00+00:00,1.3844,1.3848,1.3819,1.3828,422977.3
2026-03-11 02:35:00+00:00,1.3828,1.3833,1.3775,1.38,1914770.0
2026-03-11 02:40:00+00:00,1.38,1.3818,1.3783,1.3793,813980.6
2026-03-11 02:45:00+00:00,1.3793,1.3793,1.3779,1.3791,575602.4
2026-03-11 02:50:00+00:00,1.3791,1.3811,1.3786,1.3801,481441.3
2026-03-11 02:55:00+00:00,1.3801,1.3821,1.3801,1.3816,784534.5
2026-03-11 03:00:00+00:00,1.3816,1.3846,1.3806,1.3809,493096.4
2026-03-11 03:05:00+00:00,1.3809,1.3818,1.3806,1.3816,323267.3
2026-03-11 03:10:00+00:00,1.3816,1.3824,1.3806,1.3809,225011.9
2026-03-11 03:15:00+00:00,1.3809,1.3809,1.3784,1.3784,205274.5
2026-03-11 03:20:00+00:00,1.3784,1.3792,1.3769,1.3785,1472049.6
2026-03-11 03:25:00+00:00,1.3785,1.3788,1.3774,1.378,336434.5
2026-03-11 03:30:00+00:00,1.378,1.3794,1.3774,1.3788,584042.2
2026-03-11 03:35:00+00:00,1.3788,1.3798,1.3787,1.3796,196601.3
2026-03-11 03:40:00+00:00,1.3796,1.3798,1.3786,1.3789,165557.1
2026-03-11 03:45:00+00:00,1.3789,1.3793,1.3776,1.3788,227457.5
2026-03-11 03:50:00+00:00,1.3788,1.38,1.378,1.378,324817.6
2026-03-11 03:55:00+00:00,1.378,1.3789,1.3776,1.3782,373621.5
2026-03-11 04:00:00+00:00,1.3782,1.3783,1.3761,1.3768,549377.8
2026-03-11 04:05:00+00:00,1.3768,1.3774,1.3753,1.377,556162.1
2026-03-11 04:10:00+00:00,1.377,1.3787,1.3769,1.3785,159926.4
2026-03-11 04:15:00+00:00,1.3785,1.3795,1.3776,1.3792,266046.5
2026-03-11 04:20:00+00:00,1.3792,1.3802,1.3789,1.3802,150949.0
2026-03-11 04:25:00+00:00,1.3802,1.3852,1.3799,1.3834,1037082.7
2026-03-11 04:30:00+00:00,1.3834,1.3848,1.3826,1.3841,415280.9
2026-03-11 04:35:00+00:00,1.3841,1.3844,1.3818,1.3823,312492.0
2026-03-11 04:40:00+00:00,1.3823,1.3836,1.3818,1.3834,192378.4
2026-03-11 04:45:00+00:00,1.3834,1.3854,1.3831,1.3854,253659.1
2026-03-11 04:50:00+00:00,1.3854,1.3887,1.3854,1.3875,1215461.4
2026-03-11 04:55:00+00:00,1.3875,1.3879,1.3863,1.387,397928.7
2026-03-11 05:00:00+00:00,1.387,1.388,1.3861,1.387,343548.7
2026-03-11 05:05:00+00:00,1.387,1.3902,1.3861,1.3863,1366416.1
2026-03-11 05:10:00+00:00,1.3863,1.3881,1.3859,1.3868,451895.1
2026-03-11 05:15:00+00:00,1.3868,1.3868,1.3838,1.3839,342670.1
2026-03-11 05:20:00+00:00,1.3839,1.3851,1.383,1.3844,246695.0
2026-03-11 05:25:00+00:00,1.3844,1.3847,1.3836,1.3844,173488.6
2026-03-11 05:30:00+00:00,1.3844,1.3844,1.3826,1.3834,263347.9
2026-03-11 05:35:00+00:00,1.3834,1.3843,1.3804,1.3805,673202.2
2026-03-11 05:40:00+00:00,1.3805,1.3805,1.3739,1.3766,2330568.8
2026-03-11 05:45:00+00:00,1.3766,1.3772,1.3752,1.3759,493352.4
2026-03-11 05:50:00+00:00,1.3759,1.3767,1.375,1.3759,454324.2
2026-03-11 05:55:00+00:00,1.3759,1.3764,1.3753,1.3756,137157.0
2026-03-11 06:00:00+00:00,1.3756,1.3775,1.3752,1.3772,541894.9
2026-03-11 06:05:00+00:00,1.3772,1.3772,1.3759,1.3762,182187.9
2026-03-11 06:10:00+00:00,1.3762,1.3779,1.3762,1.3777,510922.0
2026-03-11 06:15:00+00:00,1.3777,1.3791,1.3767,1.378,356159.8
2026-03-11 06:20:00+00:00,1.378,1.3789,1.3776,1.3787,233759.3
2026-03-11 06:25:00+00:00,1.3787,1.3797,1.3782,1.3785,313186.2
2026-03-11 06:30:00+00:00,1.3785,1.3808,1.3785,1.3797,956942.1
2026-03-11 06:35:00+00:00,1.3797,1.3817,1.3793,1.381,583345.6
2026-03-11 06:40:00+00:00,1.381,1.3815,1.3795,1.3797,292621.6
2026-03-11 06:45:00+00:00,1.3797,1.3797,1.378,1.3789,215375.5
2026-03-11 06:50:00+00:00,1.3789,1.3838,1.3789,1.3822,645326.4
2026-03-11 06:55:00+00:00,1.3822,1.3829,1.3813,1.382,142614.4
2026-03-11 07:00:00+00:00,1.382,1.3826,1.3803,1.3819,241387.4
2026-03-11 07:05:00+00:00,1.3819,1.3819,1.3807,1.3818,238894.3
2026-03-11 07:10:00+00:00,1.3818,1.3819,1.3804,1.3806,194791.8
2026-03-11 07:15:00+00:00,1.3806,1.3807,1.3793,1.3806,282224.9
2026-03-11 07:20:00+00:00,1.3806,1.3809,1.3795,1.38,97816.6
2026-03-11 07:25:00+00:00,1.38,1.3808,1.3795,1.3796,97805.1
2026-03-11 07:30:00+00:00,1.3796,1.3798,1.3772,1.3777,571705.4
2026-03-11 07:35:00+00:00,1.3777,1.3778,1.3728,1.3742,812998.2
2026-03-11 07:40:00+00:00,1.3742,1.3756,1.3735,1.3748,829896.4
2026-03-11 07:45:00+00:00,1.3748,1.3761,1.3747,1.3758,329717.6
2026-03-11 07:50:00+00:00,1.3758,1.3787,1.3758,1.3775,308222.9
2026-03-11 07:55:00+00:00,1.3775,1.3798,1.3772,1.3778,348551.0
2026-03-11 08:00:00+00:00,1.3778,1.3784,1.3764,1.3774,436014.9
2026-03-11 08:05:00+00:00,1.3774,1.3787,1.3755,1.3762,226706.7
2026-03-11 08:10:00+00:00,1.3762,1.3766,1.375,1.376,287523.0
2026-03-11 08:15:00+00:00,1.376,1.3761,1.3744,1.3746,453073.4
2026-03-11 08:20:00+00:00,1.3746,1.3755,1.3729,1.3736,571140.2
2026-03-11 08:25:00+00:00,1.3736,1.3742,1.3715,1.3732,735864.0
2026-03-11 08:30:00+00:00,1.3732,1.3773,1.3729,1.3762,1317099.0
2026-03-11 08:35:00+00:00,1.3762,1.3783,1.3745,1.3767,816293.8
2026-03-11 08:40:00+00:00,1.3767,1.3771,1.3758,1.3758,230217.3
2026-03-11 08:45:00+00:00,1.3758,1.3764,1.3736,1.3739,243746.0
2026-03-11 08:50:00+00:00,1.3739,1.3747,1.3724,1.3734,360888.4
