timestamp,open,high,low,close,volume
2026-03-11 00:40:00+00:00,9.509,9.509,9.493,9.496,5870.6
2026-03-11 00:45:00+00:00,9.496,9.529,9.495,9.529,8040.8
2026-03-11 00:50:00+00:00,9.529,9.579,9.529,9.571,7932.1
2026-03-11 00:55:00+00:00,9.571,9.572,9.543,9.55,12468.1
2026-03-11 01:00:00+00:00,9.55,9.553,9.516,9.524,7060.5
2026-03-11 01:05:00+00:00,9.524,9.538,9.524,9.535,4356.1
2026-03-11 01:10:00+00:00,9.535,9.546,9.528,9.532,10933.9
2026-03-11 01:15:00+00:00,9.532,9.532,9.51,9.519,7847.8
2026-03-11 01:20:00+00:00,9.519,9.519,9.503,9.505,4546.8
2026-03-11 01:25:00+00:00,9.505,9.522,9.503,9.522,3881.8
2026-03-11 01:30:00+00:00,9.522,9.53,9.514,9.524,3718.0
2026-03-11 01:35:00+00:00,9.524,9.524,9.498,9.513,2419.3
2026-03-11 01:40:00+00:00,9.513,9.531,9.51,9.529,12447.7
2026-03-11 01:45:00+00:00,9.529,9.534,9.52,9.529,6527.4
2026-03-11 01:50:00+00:00,9.529,9.564,9.529,9.551,21834.7
2026-03-11 01:55:00+00:00,9.551,9.556,9.547,9.55,3521.7
2026-03-11 02:00:00+00:00,9.55,9.554,9.536,9.537,2922.7
2026-03-11 02:05:00+00:00,9.537,9.551,9.532,9.549,2356.9
2026-03-11 02:10:00+00:00,9.549,9.553,9.525,9.525,6531.0
2026-03-11 02:15:00+00:00,9.525,9.545,9.524,9.539,5674.5
2026-03-11 02:20:00+00:00,9.539,9.545,9.53,9.539,3792.3
2026-03-11 02:25:00+00:00,9.539,9.54,9.527,9.536,4746.3
2026-03-11 02:30:00+00:00,9.536,9.537,9.506,9.509,6523.8
2026-03-11 02:35:00+00:00,9.509,9.517,9.471,9.493,28669.1
2026-03-11 02:40:00+00:00,9.493,9.509,9.489,9.497,8452.6
2026-03-11 02:45:00+00:00,9.497,9.516,9.487,9.516,3626.1
2026-03-11 02:50:00+00:00,9.516,9.545,9.516,9.538,7442.5
2026-03-11 02:55:00+00:00,9.538,9.556,9.538,9.556,15097.6
2026-03-11 03:00:00+00:00,9.556,9.597,9.553,9.577,15332.4
2026-03-11 03:05:00+00:00,9.577,9.583,9.56,9.572,9514.5
2026-03-11 03:10:00+00:00,9.572,9.583,9.567,9.568,1216.6
2026-03-11 03:15:00+00:00,9.568,9.58,9.549,9.549,3250.2
2026-03-11 03:20:00+00:00,9.549,9.559,9.541,9.545,11080.8
2026-03-11 03:25:00+00:00,9.545,9.549,9.54,9.548,2897.6
2026-03-11 03:30:00+00:00,9.548,9.559,9.544,9.548,3187.7
2026-03-11 03:35:00+00:00,9.548,9.55,9.542,9.547,3291.6
2026-03-11 03:40:00+00:00,9.547,9.551,9.543,9.546,3454.8
2026-03-11 03:45:00+00:00,9.546,9.55,9.537,9.55,5133.3
2026-03-11 03:50:00+00:00,9.55,9.557,9.538,9.538,2179.0
2026-03-11 03:55:00+00:00,9.538,9.545,9.535,9.541,1945.4
2026-03-11 04:00:00+00:00,9.541,9.543,9.527,9.53,3558.7
2026-03-11 04:05:00+00:00,9.53,9.537,9.521,9.532,4064.2
2026-03-11 04:10:00+00:00,9.532,9.558,9.532,9.557,2613.4
2026-03-11 04:15:00+00:00,9.557,9.575,9.551,9.575,10609.8
2026-03-11 04:20:00+00:00,9.575,9.602,9.574,9.601,5511.3
2026-03-11 04:25:00+00:00,9.601,9.643,9.598,9.638,33790.4
2026-03-11 04:30:00+00:00,9.638,9.642,9.627,9.642,7440.9
2026-03-11 04:35:00+00:00,9.642,9.654,9.633,9.637,9668.3
2026-03-11 04:40:00+00:00,9.637,9.643,9.629,9.638,1831.8
2026-03-11 04:45:00+00:00,9.638,9.672,9.637,9.672,6463.6
2026-03-11 04:50:00+00:00,9.672,9.689,9.666,9.687,10431.3
2026-03-11 04:55:00+00:00,9.687,9.693,9.677,9.69,3847.3
2026-03-11 05:00:00+00:00,9.69,9.734,9.659,9.664,31396.5
2026-03-11 05:05:00+00:00,9.664,9.677,9.647,9.649,5583.7
2026-03-11 05:10:00+00:00,9.649,9.66,9.644,9.653,2793.9
2026-03-11 05:15:00+00:00,9.653,9.66,9.613,9.613,8779.1
2026-03-11 05:20:00+00:00,9.613,9.616,9.591,9.595,7907.7
2026-03-11 05:25:00+00:00,9.595,9.609,9.594,9.608,2458.7
2026-03-11 05:30:00+00:00,9.608,9.609,9.575,9.585,7000.9
2026-03-11 05:35:00+00:00,9.585,9.585,9.561,9.561,7922.2
2026-03-11 05:40:00+00:00,9.561,9.562,9.498,9.515,37842.4
2026-03-11 05:45:00+00:00,9.515,9.517,9.496,9.5,11003.3
2026-03-11 05:50:00+00:00,9.5,9.504,9.487,9.49,13775.4
2026-03-11 05:55:00+00:00,9.49,9.5,9.49,9.497,3529.1
2026-03-11 06:00:00+00:00,9.497,9.519,9.493,9.518,12783.6
2026-03-11 06:05:00+00:00,9.518,9.518,9.494,9.494,5627.0
2026-03-11 06:10:00+00:00,9.494,9.52,9.493,9.518,18015.3
2026-03-11 06:15:00+00:00,9.518,9.548,9.516,9.539,15972.8
2026-03-11 06:20:00+00:00,9.539,9.565,9.534,9.565,9596.0
2026-03-11 06:25:00+00:00,9.565,9.579,9.563,9.569,10279.4
2026-03-11 06:30:00+00:00,9.569,9.599,9.563,9.599,14753.7
2026-03-11 06:35:00+00:00,9.599,9.608,9.592,9.601,16995.9
2026-03-11 06:40:00+00:00,9.601,9.607,9.592,9.592,11324.9
2026-03-11 06:45:00+00:00,9.592,9.592,9.562,9.588,8795.0
2026-03-11 06:50:00+00:00,9.588,9.629,9.587,9.596,13059.4
2026-03-11 06:55:00+00:00,9.596,9.616,9.594,9.613,5838.5
2026-03-11 07:00:00+00:00,9.613,9.613,9.578,9.596,38590.2
2026-03-11 07:05:00+00:00,9.596,9.597,9.576,9.593,4009.3
2026-03-11 07:10:00+00:00,9.593,9.596,9.584,9.586,2520.4
2026-03-11 07:15:00+00:00,9.586,9.586,9.568,9.571,9085.4
2026-03-11 07:20:00+00:00,9.571,9.573,9.561,9.568,4294.8
2026-03-11 07:25:00+00:00,9.568,9.57,9.543,9.548,4844.4
2026-03-11 07:30:00+00:00,9.548,9.555,9.523,9.523,6248.1
2026-03-11 07:35:00+00:00,9.523,9.525,9.488,9.494,21326.0
2026-03-11 07:40:00+00:00,9.494,9.498,9.478,9.491,13090.2
2026-03-11 07:45:00+00:00,9.491,9.511,9.491,9.51,10201.3
2026-03-11 07:50:00+00:00,9.51,9.529,9.504,9.506,5194.8
2026-03-11 07:55:00+00:00,9.506,9.522,9.506,9.51,4485.5
2026-03-11 08:00:00+00:00,9.51,9.528,9.502,9.523,5789.0
2026-03-11 08:05:00+00:00,9.523,9.537,9.518,9.52,7468.0
2026-03-11 08:10:00+00:00,9.52,9.525,9.507,9.515,4420.8
